beta_b,beta_w,botnet
0.6,5.0,0.2610909090909091
0.6,5.1,0.24820526315789476
0.6,5.2,0.23748333333333332
0.6,5.3,0.15194576271186438
0.6,5.4,0.18510461538461534
0.6,5.5,0.1608808510638298
0.6,5.6,0.191444
0.6,5.7,0.19091842105263157
0.6,5.8,0.1798
0.6,5.9,0.14495098039215687
0.6,6.0,0.10770161290322582
0.6,6.1,0.11766666666666667
0.6,6.2,0.12448333333333333
0.6,6.3,0.12106222222222222
0.6,6.4,0.10516346153846154
0.6,6.5,0.09203800000000001
0.6,6.6,0.09853205128205128
0.6,6.7,0.08586956521739132
0.6,6.8,0.09924444444444443
0.6,6.9,0.08190677966101696
0.6,7.0,0.07298545454545455
0.6,7.1,0.08770980392156864
0.6,7.2,0.0761258064516129
0.6,7.3,0.07330181818181816
0.6,7.4,0.058779710144927534
0.6,7.5,0.05293220338983051
0.6,7.6,0.0671452380952381
0.6,7.7,0.04379782608695652
0.6,7.8,0.04189545454545454
0.6,7.9,0.0388962962962963
0.6,8.0,0.019347191011235956
0.6,8.1,0.02674516129032258
0.6,8.2,0.03141911764705883
0.6,8.3,0.025705999999999993
0.6,8.4,0.02269361702127659
0.6,8.5,0.01914788732394366
0.6,8.6,0.014165625000000001
0.6,8.7,0.021783999999999998
0.6,8.8,0.011907368421052628
0.6,8.9,0.013158571428571427
0.6,9.0,0.03533636363636363
0.6,9.1,0.026214666666666667
0.6,9.2,0.006085714285714286
0.6,9.3,0.007765333333333331
0.6,9.4,0.006361403508771931
0.6,9.5,0.007349180327868853
0.6,9.6,0.009043103448275861
0.6,9.7,0.027500000000000004
0.6,9.8,0.0017973684210526313
0.6,9.9,0.011876119402985075
0.6,10.0,0.010511290322580644
0.7,0.1,1.0
0.7,0.2,1.0
0.7,0.3,1.0
0.7,0.4,1.0
0.7,0.5,0.9787
0.7,0.6,1.0
0.7,0.7,0.9555
0.7,0.8,0.9869
0.7,0.9,1.0
0.7,1.0,0.9771333333333333
0.7,1.1,0.9415
0.7,1.2,0.9179
0.7,1.3,0.8986333333333333
0.7,1.4,0.8756166666666667
0.7,1.5,0.8852000000000001
0.7,1.6,0.8628777777777779
0.7,1.7,0.8038571428571428
0.7,1.8,0.7707636363636364
0.7,1.9,0.7323272727272727
0.7,2.0,0.7470791666666668
0.7,2.1,0.7075928571428571
0.7,2.2,0.6880090909090909
0.7,2.3,0.5209647058823529
0.7,2.4,0.6596090909090908
0.7,2.5,0.6346173913043477
0.7,2.6,0.5739807692307692
0.7,2.7,0.5893619047619048
0.7,2.8,0.569346875
0.7,2.9,0.576664705882353
0.7,3.0,0.5280818181818181
0.7,3.1,0.5014461538461539
0.7,3.2,0.5116483870967742
0.7,3.3,0.4157032258064516
0.7,3.4,0.45049600000000006
0.7,3.5,0.45071749999999994
0.7,3.6,0.42955000000000004
0.7,3.7,0.4029921052631579
0.7,3.8,0.41574634146341466
0.7,3.9,0.38485625
0.7,4.0,0.38857878787878786
0.7,4.1,0.3519566666666666
0.7,4.2,0.3215129411764706
0.7,4.3,0.35463142857142854
0.7,4.4,0.33731333333333335
0.7,4.5,0.32964473684210516
0.7,4.6,0.3033518072289157
0.7,4.7,0.24479056603773586
0.7,4.8,0.32348333333333334
0.7,4.9,0.2437076923076923
0.7,5.0,0.25616216216216214
0.7,5.1,0.26431562500000005
0.7,5.2,0.23749591836734693
0.7,5.3,0.20588363636363635
0.7,5.4,0.21573703703703706
0.7,5.5,0.18782857142857143
0.7,5.6,0.2254689655172414
0.7,5.7,0.17549718309859155
0.7,5.8,0.1988863636363637
0.7,5.9,0.17073913043478262
0.7,6.0,0.16733125000000001
0.7,6.1,0.2056745762711864
0.7,6.2,0.15580491803278687
0.7,6.3,0.15196451612903225
0.7,6.4,0.11470294117647059
