"beta","epsilon","protected","low","high"
3.5,1.1,0.716904761904762,0.622899493853599,0.772614370006905
3.5,1.2,0.762839285714286,0.685037536842752,0.804233576074128
3.5,1.3,0.745436363636364,0.65586370023666,0.798526081876812
3.5,1.4,0.831,0.769366379237479,0.847033898305085
3.5,1.5,0.849490196078431,0.838376219149234,0.858745749251887
3.5,1.6,0.803298245614035,0.722772673727723,0.846719298245614
3.5,1.7,0.801666666666667,0.716027771971175,0.847183333333333
3.5,1.8,0.84480701754386,0.769462581529436,0.874508273603291
3.5,1.9,0.806389830508475,0.71857781508287,0.852266183895641
3.5,2,0.8436,0.769042819524224,0.875858703400805
4,0.1,0,0,0
4,0.2,0.01435,0.010925,0.021075
4,0.3,0.140535714285714,0.091658496442709,0.210860775726131
4,0.4,0.275410256410257,0.210339486463213,0.343355026140111
4,0.5,0.444682926829268,0.359013546951139,0.51572691718442
4,0.6,0.4802,0.385161516708005,0.557666666666667
4,0.7,0.645804347826087,0.553832915983227,0.70363125828286
4,0.8,0.734788461538462,0.65778076843997,0.778884615384615
4,0.9,0.6845,0.588872257969129,0.755157016462929
4,1,0.745,0.648129308380795,0.80712
4,1.1,0.80868,0.723352551324696,0.847974866823257
4,1.2,0.812112903225806,0.733006939216189,0.856475468684722
4,1.3,0.84688,0.773035420813802,0.88076
4,1.4,0.895057692307692,0.888098379077016,0.901211538461538
4,1.5,0.902880597014925,0.896835820895522,0.908268656716418
4,1.6,0.890839285714286,0.8118428236863,0.908357142857143
4,1.7,0.901061538461538,0.834048474498211,0.916338461538462
4,1.8,0.906861111111111,0.853410797066757,0.9205
4,1.9,0.923016949152542,0.919360899102431,0.92664406779661
4,2,0.908380952380952,0.847744895795975,0.923920634920635
4.5,0.1,0,0,0
4.5,0.2,0.022286,0.016457,0.031785
4.5,0.3,0.149378378378378,0.102158052137111,0.213744649497844
4.5,0.4,0.316311111111111,0.246050535526182,0.392979983850382
4.5,0.5,0.499025641025641,0.387371387732598,0.59209273177338
4.5,0.6,0.641285714285714,0.543924627292464,0.714188869728875
4.5,0.7,0.740436363636364,0.654328800454885,0.7944
4.5,0.8,0.745685185185185,0.647888888888889,0.807543541019976
4.5,0.9,0.864641509433962,0.794331798734647,0.88308829588215
4.5,1,0.835610169491525,0.752752856152832,0.877440677966102
4.5,1.1,0.8596,0.78545401564567,0.892017301524847
4.5,1.2,0.880413793103448,0.805806700486064,0.911068965517241
4.5,1.3,0.889913793103448,0.813560243670138,0.920655172413793
4.5,1.4,0.885223880597015,0.813244748237638,0.915328358208955
4.5,1.5,0.871261538461538,0.789377255708852,0.912178925283489
4.5,1.6,0.919515625,0.859453781119364,0.935234375
4.5,1.7,0.911746268656716,0.842642302460278,0.938930417217641
4.5,1.8,0.930073529411765,0.863097678939464,0.944735294117647
4.5,1.9,0.943967741935484,0.94011307349811,0.947467741935484
4.5,2,0.946380952380952,0.943269841269841,0.949238095238095
5,0.1,0,0,0
