beta,epsilon,gamma,protected,self,forced
2.0,1.3049019780144022,1.0,0.22536882792905072,0.09773466727771912,0.127634160651333
2.0,1.3354515629298989,1.0,0.24127578994428642,0.10326730546348421,0.13800848448080377
2.0,1.3667163564620066,1.0,0.25672016494346317,0.10842877907308394,0.14829138587037966
2.0,1.3987131026472386,1.0,0.27171485317220867,0.11323357214852366,0.15848128102368508
2.0,1.4314589375234792,1.0,0.28627003062192596,0.11769478242695018,0.1685752481949863
2.0,1.4649713983072856,1.0,0.3003977623242159,0.12182606359264347,0.17857169873157291
2.0,1.4992684327860455,1.0,0.3141116681104031,0.12564143330548933,0.1884702348049147
2.0,1.5343684089300125,1.0,0.32742275983107466,0.12915358267531127,0.19826917715576337
2.0,1.5702901247293775,1.0,0.3403429714949508,0.13237531756488205,0.20796765393006866
2.0,1.6070528182616393,1.0,0.35288438269858574,0.13531923105946883,0.21756515163911666
2.0,1.6446761779946635,1.0,0.36505735786032817,0.13799699218263448,0.22706036567769794
2.0,1.6831803533309566,1.0,0.37687436029700644,0.14042081063588246,0.23645354966112353
